#,case,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,Cooling,Lighting,Cooling+Lighting,Equipment,Total
29600,29601,130,1.014801201,0.567678076,0.697764931,0.190221107,0.429545509,2.808756235,0.482863124,0.536857134,0.458985719,0.465264354,0.547065808,69171.32915,13151.95308,82323.28223,51617.8656,133941.1478
10430,10431,190,0.666649357,0.64431652,0.923902966,0.246361432,0.186047232,2.538214696,0.332845065,0.609353777,0.462169408,0.568605979,0.698835878,61834.50645,11584.35432,73418.86077,51617.8656,125036.7264
25768,25769,280,0.517553415,0.561661285,0.788701422,0.260526953,0.206272574,1.878967166,0.346928826,0.36961151,0.368061119,0.399803937,0.509088319,63244.9501,15110.69616,78355.64626,51617.8656,129973.5119
29103,29104,70,0.566641049,0.685730544,0.40030895,0.342635668,0.329077289,1.841293039,0.391634274,0.387201453,0.454556549,0.521504349,0.475938846,69998.01349,14025.71016,84023.72365,51617.8656,135641.5893
36537,36538,270,0.648863758,0.793068154,0.412774646,0.187916799,0.16333876,1.919780825,0.449373236,0.267265491,0.645801837,0.658498219,0.634190838,63553.41683,10847.93724,74401.35407,51617.8656,126019.2197
39328,39329,200,0.653592408,0.53726263,1.070839682,0.162178755,0.268891014,2.877073873,0.434582703,0.367993312,0.491784011,0.458561397,0.515687835,62631.14058,13888.09548,76519.23606,51617.8656,128137.1017
35539,35540,160,1.077251759,0.514251293,0.943954729,0.205734836,0.463922039,1.27566523,0.35402015,0.416888464,0.416686226,0.415741296,0.6752542,67930.01971,13023.40284,80953.42255,51617.8656,132571.2882
28075,28076,170,0.453214081,0.675904053,0.585108992,0.303085606,0.388190741,2.530931524,0.407189407,0.446107318,0.438392428,0.593131859,0.475270797,68382.70761,13811.73444,82194.44205,51617.8656,133812.3077
17840,17841,90,1.025655495,0.704936642,0.901731397,0.453490391,0.361697731,2.303268945,0.45107048,0.501978139,0.533332259,0.559693902,0.613379773,71954.82182,11775.5316,83730.35342,51617.8656,135348.219
27802,27803,230,0.680738511,0.405202437,0.598002321,0.45923345,0.186484434,1.724388828,0.440677843,0.329107098,0.503894776,0.594828165,0.600329802,66519.95429,12115.58544,78635.53973,51617.8656,130253.4053
7682,7683,50,1.007818248,0.609864868,1.144308282,0.370796152,0.322761143,2.553497628,0.518133547,0.470445065,0.448131889,0.519193776,0.579056416,68393.4561,12718.78272,81112.23882,51617.8656,132730.1044
24279,24280,280,0.458612484,0.520166426,0.813659696,0.364843044,0.16948259,1.090335192,0.316645925,0.615943997,0.376906905,0.49972804,0.560589969,64853.99066,13536.50508,78390.49574,51617.8656,130008.3613
33070,33071,270,0.701288037,0.458272179,0.577973071,0.27467271,0.365389528,2.231944245,0.529545847,0.55551895,0.641168711,0.576675071,0.510808645,71927.13909,11971.9278,83899.06689,51617.8656,135516.9325
35557,35558,0,1.03052174,0.404413407,0.819828088,0.340692687,0.37426093,2.654868478,0.247948497,0.495665291,0.41929895,0.414721905,0.594352207,66896.78146,13899.63204,80796.4135,51617.8656,132414.2791
37189,37190,50,0.837037993,0.734542576,0.662149708,0.308819919,0.379272578,1.889706677,0.401171739,0.634964306,0.488645881,0.514278088,0.690073656,71057.96764,11565.67608,82623.64372,51617.8656,134241.5093
47149,47150,170,0.665196923,0.766990629,0.924671076,0.331656116,0.252033823,2.581982641,0.633888714,0.622052682,0.493451224,0.494872588,0.54319888,66417.57168,12599.5716,79017.14328,51617.8656,130635.0089
46915,46916,320,0.596670976,0.569288774,0.419764112,0.383110674,0.439214849,2.237400271,0.394375046,0.453574299,0.579142202,0.434624789,0.475675158,72689.67475,13773.55392,86463.22867,51617.8656,138081.0943
9801,9802,270,0.99430278,0.410662229,0.835436384,0.45022432,0.311883662,1.721553063,0.535104569,0.343127566,0.471729348,0.346051066,0.723610456,68183.57769,12439.98252,80623.56021,51617.8656,132241.4258
38800,38801,120,0.467616151,0.776549004,0.893059329,0.176936629,0.231713374,1.179248185,0.289658588,0.56246007,0.543054221,0.464181098,0.506367437,64695.37277,13706.80668,78402.17945,51617.8656,130020.0451
24669,24670,350,0.985603511,0.5551758,1.133206601,0.203170851,0.158600394,2.453282422,0.390428919,0.283936634,0.507748505,0.465050122,0.45026048,60993.88319,15051.91464,76045.79783,51617.8656,127663.6634
44233,44234,110,1.152788628,0.544377656,0.918045539,0.332097709,0.476920962,1.110320194,0.502912375,0.339851033,0.499886462,0.521003446,0.552594554,75222.65163,12689.39196,87912.04359,51617.8656,139529.9092
31919,31920,30,0.627525455,0.505441107,1.175866951,0.163245523,0.169997826,2.33910413,0.551899641,0.557424705,0.537874673,0.463881172,0.449496003,61374.3248,13695.81948,75070.14428,51617.8656,126688.0099
7134,7135,40,0.430200519,0.686134745,0.462896833,0.253125735,0.184321857,2.881316117,0.460925114,0.335225213,0.472781332,0.385626418,0.741867655,62394.52774,12244.13568,74638.66342,51617.8656,126256.529
33704,33705,10,0.579482931,0.702731057,0.76242429,0.365346945,0.377355923,2.918236681,0.445426505,0.38005063,0.368951662,0.404390375,0.659170626,66424.73952,13513.98132,79938.72084,51617.8656,131556.5864
29660,29661,150,0.637466011,0.68470365,0.819922833,0.274912094,0.488101508,1.797149202,0.412758741,0.358906882,0.584725024,0.56677714,0.487441968,72924.04982,13170.63132,86094.68114,51617.8656,137712.5467
